,_9m
246,2.873101407132876
247,2.854979882716492
248,2.836736388030957
249,2.8184865818910136
250,2.800741508059316
251,2.7829321754989644
252,2.7652312351869472
253,2.7478844879990527
254,2.730249481817765
255,2.712988647943696
256,2.696176553293138
257,2.6795192837319357
258,2.6627455453462963
259,2.64594199083065
260,2.6300134749579147
261,2.615577853084739
262,2.6007930656524803
263,2.583537245125778
264,2.5667806505158577
265,2.551875801399823
266,2.5369907323353127
267,2.5231429964085734
268,2.5083246887651436
269,2.4943764150537886
270,2.4811076186513255
271,2.4682488932881466
272,2.4550911234791197
273,2.441860447485486
274,2.433913829671016
275,2.4182333660507025
276,2.402698998157189
277,2.3870435039137146
278,2.369904991439502
279,2.3533820333952997
280,2.3346906048681575
281,2.3162330999305887
282,2.2977623233487483
283,2.27913235221832
284,2.260457654286535
285,2.2418590851329903
286,2.2227678529375297
287,2.2047385877703
288,2.1861764853155625
289,2.1671156420802724
290,2.148124090489074
291,2.1290874693571844
292,2.1106248686125237
293,2.0921239778909504
294,2.07331729014338
295,2.054477467626362
296,2.0209237944390805
297,2.002092311759961
298,1.9831015219724648
299,1.9632648399991623
300,1.9438106491811862
301,1.9248339601265299
302,1.9058524717103813
303,1.886943717174498
304,1.8681482442893813
305,1.8494213448536545
306,1.8309898651522785
307,1.8122944514152364
308,1.792115446733468
309,1.772581820344235
310,1.7534453846932534
311,1.734162947987043
312,1.7146061440980809
313,1.6967885823083204
314,1.6781289199853546
315,1.6604486388076083
316,1.6384101031543201
317,1.6196745630104665
318,1.6007841488923882
319,1.5804143701911633
320,1.5616608973642236
321,1.5428668172833069
322,1.5244030288695214
323,1.5063492908105003
324,1.494249462842121
325,1.4766276783107006
326,1.4584399611495824
327,1.441162010128891
328,1.4233045107653028
329,1.4055799458882587
330,1.387667610698407
331,1.369950972148537
332,1.3511834563331737
333,1.3323751609694074
334,1.3145888618510835
335,1.2969924625160525
336,1.2894918680856113
337,1.270104927710216
338,1.2511039686664196
339,1.232514251960258
340,1.2141108318168348
341,1.195170495007412
342,1.1769517601279826
343,1.1579457446257564
344,1.1392771055107174
345,1.1202544940805756
346,1.1014932187138031
347,1.0830639453069892
348,1.0644835087575215
349,1.0453050322573167
350,1.0247757896328613
351,1.0045506175914003
352,0.9847897493356843
353,0.96502366025745
354,0.9452523481871928
355,0.9252831540331536
356,0.9056940641652016
357,0.8853049542758562
358,0.8620876112602414
359,0.8415928040058294
360,0.8223355037514093
361,0.8033398628194988
362,0.7852566974912261
363,0.7674693351292268
364,0.75087270486123
365,0.7337781362441831
366,0.7165316418895182
367,0.6999599401787071
368,0.6845137289735126
369,0.6691356250215961
370,0.6538351380067011
371,0.6386582933491622
372,0.6225693907292227
373,0.608003850486579
374,0.5921981428600409
375,0.5766545071045588
376,0.5606367373110457
377,0.5437996411619936
378,0.5251935671143357
379,0.5066190103578574
380,0.48966210208910077
381,0.47300477891328985
382,0.45623377960745337
383,0.43931278433436205
384,0.4227351151247687
385,0.4062573624073238
386,0.39531750817704747
387,0.3788292751481679
388,0.36233622458371073
389,0.3472380857154551
390,0.33198906582790677
391,0.31662822328826934
392,0.3015049160778407
393,0.2857331563528289
394,0.27015415360882233
395,0.25457095470954005
396,0.23902478298214724
397,0.2202442333565262
398,0.20438715346796066
399,0.1887182563483627
400,0.17301594562834666
401,0.1579989046034962
402,0.14297790057405813
403,0.12784138092041442
404,0.11281907159992333
405,0.0974942449566436
406,0.08024358968929057
407,0.06227831204256962
408,0.04567703353473629
409,0.029071165705236268
410,0.012726917730172538
411,-0.0033906493173736507
412,-0.019471445087988926
413,-0.03623013538611275
414,-0.05268215393187514
415,-0.06894199414252444
416,-0.08520624435802304
417,-0.1021148478102143
418,-0.11871948239676477
419,-0.13671946015688885
420,-0.15437859081523886
421,-0.1694278301353167
422,-0.18470119854409894
423,-0.19997860264095735
424,-0.21537145734036223
425,-0.2297805422686654
426,-0.2447953705490269
427,-0.257862537678875
428,-0.27362116178077045
429,-0.28919213187815984
430,-0.3047671821519602
431,-0.3204182761566141
432,-0.3365225981857254
433,-0.35209791063170925
434,-0.3681258579950022
435,-0.38437183217647863
436,-0.4006583872371099
437,-0.41694938994939346
438,-0.4333165544372273
439,-0.4499499342693376
440,-0.46666299686968493
441,-0.48466795772438775
442,-0.5018805703923226
443,-0.5190187857408706
444,-0.536161907857382
445,-0.5533099389269784
446,-0.5696291424920705
447,-0.589795197714527
448,-0.6069070023163565
449,-0.6238713101140556
450,-0.6388716661356417
451,-0.6536831922527391
452,-0.6686461734279465
453,-0.6821314624638024
454,-0.6958089970718486
455,-0.708643337482779
456,-0.7235655891731971
457,-0.7400824441473919
458,-0.756221803898443
459,-0.7721727455700469
460,-0.7894498408417805
461,-0.804869653071461
